departamento,periodo,rendimiento,produccion,cosechada,sembrada,temp
5,2015A,149.99999999999997,26145.0,13531.0,15445.0,21.401455247433407
5,2015B,154.89999999999998,28301.0,16261.0,14118.0,21.65511338610674
5,2016A,137.29999999999995,25275.0,13356.0,15253.0,22.08271112683064
5,2016B,255.79999999999998,31356.0,15815.0,15829.0,20.235452178878568
5,2017A,222.39999999999992,28772.0,14148.0,12942.0,20.42739362053336
5,2017B,193.70000000000002,25009.0,13096.0,11048.0,20.28031277391305
5,2018A,176.79999999999998,22536.0,11279.0,14117.0,20.849650114347348
8,2015A,25.900000000000002,3561.0,2775.0,4139.0,30.15290028204409
8,2015B,26.2,3205.0,2594.0,3049.0,29.817740544293944
8,2016A,32.2,2343.0,2289.0,3521.0,30.64468691856743
8,2016B,43.9,6458.0,3458.0,3509.0,27.786035803788483
8,2017A,49.1,8836.0,4156.0,5483.0,28.82510456877264
8,2017B,41.6,6349.0,4283.0,4280.0,27.528069334741257
8,2018A,43.8,6395.0,3955.0,6649.0,29.285920362407815
13,2015A,73.69999999999997,67304.0,42637.0,40860.0,28.763235765895224
13,2015B,66.7,48550.0,29397.0,43031.0,28.147344466362064
13,2016A,69.40000000000002,48079.0,30999.0,42800.0,29.195986707849034
13,2016B,75.40000000000002,60027.0,33466.0,45774.0,26.60608320013729
13,2017A,76.2,68337.0,37256.0,37159.0,27.36546932619331
13,2017B,69.5,53549.0,31304.0,39743.0,26.56835919093223
13,2018A,70.7,55069.0,32578.0,48580.0,27.900142874550603
15,2015A,75.19999999999999,4320.0,2888.0,3949.0,16.886445099110333
15,2015B,145.3,9427.0,6425.0,2974.0,17.09796134782169
15,2016A,71.7,4353.0,2770.0,3532.0,18.833179535711828
15,2016B,146.20000000000005,8951.0,6322.0,3221.0,15.84060058356222
15,2017A,93.5,4569.0,3082.0,3948.0,16.284003432454657
15,2017B,150.2,8390.0,6302.0,2385.0,15.785866400203307
15,2018A,88.29999999999998,3263.0,2399.0,4143.0,16.49267320477335
17,2015A,95.4,13587.0,1247.0,954.0,20.985587404924278
17,2015B,130.4,13100.0,1044.0,1211.0,22.045698874592222
17,2016A,117.3,12218.0,1172.0,591.0,21.751322291878953
17,2016B,91.80000000000001,2290.0,690.0,638.0,20.253465350852245
17,2017A,78.5,1682.0,572.0,614.0,19.63964586783077
17,2017B,69.3,1723.0,654.0,588.0,19.849085685564834
17,2018A,64.5,1380.0,563.0,724.0,20.307486756419667
18,2015A,18.4,2972.0,2518.0,3552.0,24.263225473860707
18,2015B,48.8,6284.0,3950.0,2417.0,24.7667587910876
18,2016A,14.7,1934.0,1698.0,2884.0,26.270455602946175
18,2016B,52.2,15773.0,7891.0,2906.0,24.604700057679803
18,2017A,19.0,3143.0,2379.0,3355.0,24.42548287729077
18,2017B,21.8,7770.0,6532.0,2969.0,24.406415983988754
18,2018A,17.3,2927.0,2518.0,3558.0,25.215835462044872
19,2015A,72.1,8106.0,3713.0,2768.0,19.194642643594165
19,2015B,90.10000000000002,8333.0,4102.0,3241.0,20.821073540798075
19,2016A,81.1,6940.0,3237.0,6379.0,19.738052225826348
19,2016B,78.39999999999998,10823.0,6636.0,4793.0,19.621693905060628
19,2017A,76.60000000000001,9364.0,4683.0,6125.0,18.51974458499809
19,2017B,78.1,11046.0,6663.0,5102.0,19.259211679571614
19,2018A,70.4,9604.0,5399.0,5911.0,18.269521211117993
20,2015A,37.900000000000006,12268.0,11388.0,16920.0,28.270213417350988
20,2015B,43.0,8850.0,7700.0,14477.0,27.778076671217022
20,2016A,44.9,9934.0,9059.0,14971.0,28.92793173216712
20,2016B,79.5,20529.0,13529.0,16374.0,25.761057526344192
20,2017A,76.4,22012.0,14822.0,17021.0,27.07922714670678
20,2017B,68.5,24840.0,16779.0,17601.0,25.77866688257924
20,2018A,114.59999999999998,33168.0,16772.0,18793.0,27.67404339208645
23,2015A,98.30000000000001,50786.0,21823.0,37841.0,29.242229571383934
23,2015B,113.0,136407.0,41846.0,17973.0,27.628948890517897
23,2016A,82.2,42616.0,17700.0,42232.0,28.924915620490722
23,2016B,119.7,180024.0,46523.0,20377.0,26.713418477643227
23,2017A,95.7,58122.0,20655.0,45818.0,27.683288065840784
23,2017B,111.89999999999999,142615.0,45202.0,17100.0,27.212056671283513
23,2018A,89.99999999999999,41806.0,16426.0,36568.0,28.353244458676716
25,2015A,190.8,24303.0,10660.0,9903.0,18.830349984667258
25,2015B,222.69999999999996,19263.0,9399.0,8314.0,20.059960895614996
25,2016A,231.59999999999997,22635.0,8494.0,8081.0,20.41549998336343
25,2016B,223.2,22589.0,8929.0,8188.0,18.04837858215398
25,2017A,274.80000000000007,26815.0,9649.0,8508.0,18.061499915149717
25,2017B,374.0000000000001,44867.0,10134.0,8937.0,17.78841378880956
25,2018A,318.40000000000015,37106.0,10788.0,9771.0,17.896382215995278
27,2015A,12.400000000000002,5644.0,5440.0,7459.0,22.90166027115185
27,2015B,17.3,6862.0,9051.0,5554.0,22.831456301889766
27,2016A,12.700000000000003,5486.0,5505.0,7819.0,22.445430197374343
27,2016B,21.000000000000004,8079.0,8993.0,5874.0,22.125813043573725
27,2017A,11.700000000000003,6382.0,5594.0,6431.0,22.922375390226804
27,2017B,27.1,8060.0,7635.0,6168.0,22.286876244316012
27,2018A,22.3,7070.0,5877.0,9119.0,23.14942465143646
41,2015A,187.29999999999995,39458.0,15156.0,16951.0,21.309205848203163
41,2015B,190.69999999999993,42421.0,16457.0,14870.0,23.011571175177814
41,2016A,184.20000000000022,35263.0,14330.0,15273.0,22.13772569066363
41,2016B,195.4000000000002,39748.0,14900.0,16213.0,21.105068660221708
41,2017A,203.7,42873.0,16101.0,14409.0,19.74821576091349
41,2017B,202.1,39289.0,14010.0,13333.0,21.120000031425693
41,2018A,198.4,35802.0,13110.0,12122.0,20.40028317637073
44,2015A,18.900000000000002,7506.0,4595.0,2206.0,27.967558416837402
44,2015B,12.7,1077.0,839.0,5439.0,27.60098887356182
44,2016A,16.6,3403.0,3366.0,2919.0,28.117402154376652
44,2016B,17.799999999999997,3094.0,2191.0,12269.0,26.654849214093254
44,2017A,23.000000000000004,20841.0,11438.0,3715.0,26.40565600812814
44,2017B,18.9,5173.0,3250.0,10669.0,25.799997232170902
44,2018A,23.900000000000002,20680.0,10412.0,5904.0,26.899927703016644
47,2015A,33.800000000000004,19087.0,16205.0,11398.0,29.622345434868105
47,2015B,29.4,9641.0,9120.0,13950.0,28.76109261647217
47,2016A,30.0,12784.0,11940.0,10508.0,30.12715202090549
47,2016B,26.9,7823.0,8708.0,17780.0,27.085352818133867
47,2017A,28.699999999999996,15308.0,15894.0,13627.0,28.337453810183955
47,2017B,32.199999999999996,11100.0,10735.0,20005.0,26.761024474626808
47,2018A,33.400000000000006,16866.0,14672.0,22243.0,28.825655175222945
50,2015A,219.0,113244.0,20187.0,21064.0,23.964877068139092
50,2015B,328.2,142554.0,22353.0,23579.0,23.84645872445173
50,2016A,326.3,148275.0,23694.0,46208.0,25.07846877941752
50,2016B,128.9,309025.0,47396.0,35397.0,23.0272430169574
50,2017A,104.4,213767.0,36014.0,59328.0,23.32369609679503
50,2017B,141.99999999999997,290435.0,60789.0,37971.0,23.33703426307088
50,2018A,121.49999999999997,205210.0,39126.0,67531.0,24.116074453458086
52,2015A,47.400000000000006,6177.0,4211.0,5831.0,16.083346298979
52,2015B,102.39999999999999,9727.0,7561.0,4677.0,18.518887654025782
52,2016A,79.20000000000002,6537.0,3971.0,5776.0,17.404329083428458
52,2016B,113.8,11853.0,8905.0,4068.0,17.982487618322576
52,2017A,85.5,6904.0,3871.0,5588.0,16.525539465454013
52,2017B,109.09999999999998,11679.0,8518.0,4131.0,17.52885495347125
52,2018A,70.89999999999998,5923.0,3865.0,7593.0,16.003615609410257
54,2015A,57.7,6706.0,3750.0,3572.0,19.727153525954318
54,2015B,65.2,6296.0,3729.0,3259.0,20.11515732737163
54,2016A,58.400000000000006,6435.0,3247.0,3373.0,20.74387029309609
54,2016B,75.30000000000003,7192.0,3647.0,3255.0,19.289567272537198
54,2017A,62.80000000000001,6138.0,3241.0,3344.0,19.095256861058292
54,2017B,73.7,7905.0,3552.0,3089.0,18.727751107496495
54,2018A,59.20000000000002,8352.0,3050.0,2719.0,19.3889279882302
63,2015A,18.7,380.0,230.0,287.0,17.996511678163785
63,2015B,21.400000000000002,887.0,327.0,234.0,19.770107464745625
63,2016A,15.400000000000002,307.0,213.0,635.0,18.660443303591205
63,2016B,20.7,1584.0,675.0,707.0,17.64070790370962
63,2017A,30.6,2013.0,802.0,364.0,17.19576263237693
63,2017B,19.2,832.0,377.0,325.0,17.686992426921954
63,2018A,26.0,1171.0,508.0,794.0,17.606724096428255
66,2015A,37.5,2869.0,726.0,578.0,20.493492306199666
66,2015B,42.2,2135.0,546.0,671.0,21.227007224556072
66,2016A,38.0,2555.0,647.0,1174.0,20.938937045681048
66,2016B,51.1,5913.0,1224.0,662.0,19.304889263393168
66,2017A,39.5,2738.0,652.0,974.0,19.57177151629704
66,2017B,36.4,4064.0,954.0,905.0,19.677819601436525
66,2018A,32.9,3939.0,896.0,944.0,19.860407643996677
68,2015A,173.49999999999994,7679.0,4124.0,7012.0,21.0304971931373
68,2015B,155.99999999999997,13445.0,7127.0,4587.0,21.4010412159315
68,2016A,134.79999999999998,9029.0,4493.0,5884.0,21.619598766238138
68,2016B,200.69999999999996,12848.0,7046.0,4102.0,19.946402218673178
68,2017A,162.2,8002.0,4025.0,5526.0,19.9713561321346
68,2017B,165.69999999999996,9907.0,5802.0,4295.0,19.746131740595057
68,2018A,132.00000000000003,7280.0,4195.0,5630.0,20.381709548091933
70,2015A,90.1,20932.0,9099.0,11092.0,30.286510744926453
70,2015B,85.89999999999999,24335.0,9778.0,6509.0,28.567905899429768
70,2016A,73.59999999999998,11946.0,5534.0,12360.0,29.92270732455989
70,2016B,68.70000000000002,26872.0,13277.0,7197.0,27.65567849681036
70,2017A,68.9,12594.0,6463.0,12462.0,28.79370218387747
70,2017B,70.2,28650.0,13285.0,6424.0,27.65919442890334
70,2018A,66.49999999999999,12263.0,6196.0,9428.0,29.46250508571971
73,2015A,152.79999999999998,123088.0,29881.0,23193.0,22.615840514012238
73,2015B,118.1,77743.0,22435.0,26379.0,24.64138970943897
73,2016A,119.19999999999997,91357.0,24235.0,27246.0,23.625718937794893
73,2016B,198.40000000000003,103576.0,26555.0,26243.0,22.31874099557002
73,2017A,164.30000000000004,101519.0,25846.0,17235.0,21.504432557650667
73,2017B,214.49999999999994,68419.0,17309.0,21620.0,21.792570490581404
73,2018A,176.89999999999998,82749.0,20989.0,18631.0,21.83515657561613
76,2015A,313.3,51347.0,8729.0,11050.0,21.57929980200271
76,2015B,318.6000000000001,77205.0,11031.0,9253.0,22.920396031299138
76,2016A,294.90000000000003,62149.0,9218.0,9936.0,22.28036680937742
76,2016B,306.4,60206.0,10057.0,10502.0,20.767596732251025
76,2017A,321.20000000000005,64513.0,10494.0,10422.0,20.6866723265467
76,2017B,438.90000000000003,69006.0,10444.0,11896.0,20.89174317372291
76,2018A,412.90000000000003,79045.0,11705.0,10107.0,20.92663190804064
81,2015A,9.399999999999999,11604.0,8361.0,8173.0,25.80415386567734
81,2015B,8.5,10103.0,7838.0,8490.0,25.19072545261611
81,2016A,8.5,10175.0,8168.0,8400.0,26.386018072044028
81,2016B,9.4,10790.0,8083.0,8240.0,24.874094222232554
81,2017A,9.499999999999998,10717.0,7940.0,5300.0,25.280332439952918
81,2017B,5.8,6885.0,4830.0,5450.0,24.900207144262215
81,2018A,9.7,10437.0,7628.0,5600.0,25.240055839722313
85,2015A,47.5,3250.0,1303.0,2233.0,25.639279150944994
85,2015B,67.2,6499.0,2785.0,1570.0,25.24354124510713
85,2016A,48.800000000000004,4394.0,1523.0,1047.0,26.811046785678943
85,2016B,78.29999999999998,4044.0,1500.0,1103.0,24.48900497663463
85,2017A,37.9,2292.0,1139.0,1469.0,25.071427084257593
85,2017B,49.300000000000004,3124.0,1713.0,1257.0,24.710762184791733
85,2018A,39.800000000000004,2825.0,1367.0,1788.0,25.517483409758434
86,2015A,11.600000000000001,1304.0,981.0,1602.0,18.783924381838684
86,2015B,19.400000000000002,3243.0,2139.0,1218.0,19.89871103924556
86,2016A,11.0,1398.0,1084.0,3849.0,20.872184384797436
86,2016B,13.599999999999998,4635.0,4427.0,777.0,20.059022429527893
86,2017A,8.9,672.0,686.0,2002.0,20.08809447451673
86,2017B,14.399999999999999,3075.0,2643.0,3187.0,20.265753346887625
86,2018A,9.6,3166.0,3045.0,3765.0,19.487110830708637
88,2015A,1.0,1.0,1.0,1.0,11.288807260479
88,2015B,1.0,1.0,1.0,1.0,10.7927923900613
88,2017B,1.9,1.0,0.0,0.0,10.3599321435458
91,2015A,3.0,70.0,46.0,80.0,24.250215613967573
91,2015B,2.2,87.0,74.0,30.0,25.621921623379148
91,2016A,2.0,50.0,25.0,30.0,25.47633348928763
91,2016B,3.0,119.0,79.0,30.0,25.121792383207172
91,2017A,1.8,54.0,30.0,7.0,24.952430135691777
91,2017B,1.0,6.0,6.0,12.0,24.52738192502041
91,2018A,1.5,30.0,52.0,10.0,24.67471256862995
94,2015A,1.5,110.0,73.0,80.0,25.50422368565704
94,2015B,3.0,240.0,160.0,29.0,26.006190131067818
94,2016A,3.0,51.0,29.0,87.0,26.600719822983834
94,2016B,4.0,168.0,84.0,88.0,25.4737254227645
94,2017A,4.0,170.0,85.0,54.0,25.737181224469033
94,2017B,2.0,51.0,51.0,170.0,25.206036393358545
94,2018A,2.0,169.0,169.0,45.0,26.38093726152051
95,2015A,6.0,5533.0,3688.0,4333.0,25.452468103104675
95,2015B,6.0,6118.0,4078.0,4333.0,25.82596681469045
95,2016A,6.0,6118.0,4078.0,5053.0,26.256817864017176
95,2016B,6.0,6823.0,4548.0,4262.0,25.449283639373128
95,2017A,4.5,5755.0,3836.0,4474.0,25.3636386582495
95,2017B,6.0,7162.0,4774.0,0.0,24.975901183116548
97,2015A,2.4,149.0,113.0,233.0,24.587979093770446
97,2015B,2.2,217.0,204.0,128.0,25.35868300624158
97,2016A,2.4,148.0,113.0,150.0,25.806084792243436
97,2016B,4.7,308.0,140.0,65.0,25.237476058003647
97,2017A,2.7,135.0,50.0,75.0,25.2697937703819
97,2017B,4.8,396.0,170.0,82.0,24.639475679488395
97,2018A,2.8,213.0,76.0,100.0,26.72979747400728
99,2015A,6.9,3187.0,1881.0,245.0,29.454386897429117
99,2015B,13.1,39297.0,6193.0,15505.0,28.040703707998
99,2016A,12.999999999999998,98246.0,15449.0,6215.0,30.25904816430534
99,2016B,15.0,36496.0,6205.0,15314.0,27.315608416847777
99,2017A,16.299999999999997,90580.0,15233.0,5859.0,28.436163542114237
99,2017B,13.5,23179.0,5852.0,4205.0,28.022784188979905
99,2018A,10.4,14385.0,4176.0,4758.0,29.667308457139463
